submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,7 Day Average
1/22/2020,CO,0,,,0,,0,,,0,,0.00
1/23/2020,CO,0,,,0,,0,,,0,,0.00
1/24/2020,CO,0,,,0,,0,,,0,,0.00
1/25/2020,CO,0,,,0,,0,,,0,,0.00
1/26/2020,CO,0,,,0,,0,,,0,,0.00
1/27/2020,CO,0,,,0,,0,,,0,,0.00
1/28/2020,CO,0,,,0,,0,,,0,,0.00
1/29/2020,CO,0,,,0,,0,,,0,,0.00
1/30/2020,CO,0,,,0,,0,,,0,,0.00
1/31/2020,CO,0,,,0,,0,,,0,,0.00
2/1/2020,CO,0,,,0,,0,,,0,,0.00
2/2/2020,CO,0,,,0,,0,,,0,,0.00
2/3/2020,CO,0,,,0,,0,,,0,,0.00
2/4/2020,CO,0,,,0,,0,,,0,,0.00
2/5/2020,CO,0,,,0,,0,,,0,,0.00
2/6/2020,CO,0,,,0,,0,,,0,,0.00
2/7/2020,CO,0,,,0,,0,,,0,,0.00
2/8/2020,CO,0,,,0,,0,,,0,,0.00
2/9/2020,CO,0,,,0,,0,,,0,,0.00
2/10/2020,CO,0,,,0,,0,,,0,,0.00
2/11/2020,CO,0,,,0,,0,,,0,,0.00
2/12/2020,CO,0,,,0,,0,,,0,,0.00
2/13/2020,CO,0,,,0,,0,,,0,,0.00
2/14/2020,CO,0,,,0,,0,,,0,,0.00
2/15/2020,CO,0,,,0,,0,,,0,,0.00
2/16/2020,CO,0,,,0,,0,,,0,,0.00
2/17/2020,CO,0,,,0,,0,,,0,,0.00
2/18/2020,CO,0,,,0,,0,,,0,,0.00
2/19/2020,CO,0,,,0,,0,,,0,,0.00
2/20/2020,CO,0,,,0,,0,,,0,,0.00
2/21/2020,CO,0,,,0,,0,,,0,,0.00
2/22/2020,CO,0,,,0,,0,,,0,,0.00
2/23/2020,CO,0,,,0,,0,,,0,,0.00
2/24/2020,CO,0,,,0,,0,,,0,,0.00
2/25/2020,CO,0,,,0,,0,,,0,,0.00
2/26/2020,CO,0,,,0,,0,,,0,,0.00
2/27/2020,CO,0,,,0,,0,,,0,,0.00
2/28/2020,CO,0,,,0,,0,,,0,,0.00
2/29/2020,CO,0,,,0,,0,,,0,,0.00
3/1/2020,CO,0,,,0,,0,,,0,,0.00
3/2/2020,CO,0,,,0,,0,,,0,,0.00
3/3/2020,CO,0,,,0,,0,,,0,,0.00
3/4/2020,CO,0,,,0,,0,,,0,,0.00
3/5/2020,CO,1,,,1,,0,,,0,,0.14
3/6/2020,CO,2,,,1,,0,,,0,,0.29
3/7/2020,CO,8,,,6,,0,,,0,,1.14
3/8/2020,CO,8,,,0,,0,,,0,,1.14
3/9/2020,CO,12,,,4,,0,,,0,,1.71
3/10/2020,CO,17,,,5,,0,,,0,,2.43
3/11/2020,CO,34,,,17,,0,,,0,,4.86
3/12/2020,CO,49,,,15,,0,,,0,,6.86
3/13/2020,CO,49,,,0,,0,,,0,,6.71
3/14/2020,CO,49,,,0,,0,,,0,,5.86
3/15/2020,CO,144,,,95,,1,,,1,,19.43
3/16/2020,CO,160,,,16,,1,,,0,,21.14
3/17/2020,CO,183,,,23,,2,,,1,,23.71
3/18/2020,CO,216,,,33,,2,,,0,,26.00
3/19/2020,CO,277,,,61,,2,,,0,,32.57
3/20/2020,CO,363,,,86,,4,,,2,,44.86
3/21/2020,CO,475,,,112,,5,,,1,,60.86
3/22/2020,CO,591,,,116,,6,,,1,,63.86
3/23/2020,CO,720,,,129,,7,,,1,,80.00
3/24/2020,CO,921,,,201,,11,,,4,,105.43
3/25/2020,CO,"1,086",,,165,,19,,,8,,124.29
3/26/2020,CO,"1,430",,,344,,24,,,5,,164.71
3/27/2020,CO,"1,734",,,304,,31,,,7,,195.86
3/28/2020,CO,"2,061",,,327,,44,,,13,,226.57
3/29/2020,CO,"2,307",,,246,,47,,,3,,245.14
3/30/2020,CO,"2,627",,,320,,51,,,4,,272.43
3/31/2020,CO,"2,966",,,339,,69,,,18,,292.14
4/1/2020,CO,"3,342",,,376,,80,,,11,,322.29
4/2/2020,CO,"3,728",,,386,,97,,,17,,328.29
4/3/2020,CO,"4,173",,,445,,111,,,14,,348.43
4/4/2020,CO,"4,565",,,392,,126,,,15,,357.71
4/5/2020,CO,"4,950",,,385,,140,,,14,,377.57
4/6/2020,CO,"5,172",,,222,,150,,,10,,363.57
4/7/2020,CO,"5,429",,,257,,179,,,29,,351.86
4/8/2020,CO,"5,655",,,226,,193,,,14,,330.43
4/9/2020,CO,"6,202",,,547,,226,,,33,,353.43
4/10/2020,CO,"6,365",,,163,,250,,,24,,313.14
4/11/2020,CO,"6,893",,,528,,274,,,24,,332.57
4/12/2020,CO,"7,303",,,410,,290,,,16,,336.14
4/13/2020,CO,"7,691",,,388,,308,,,18,,359.86
4/14/2020,CO,"7,941",,,250,,329,,,21,,358.86
4/15/2020,CO,"8,280",,,339,,357,,,28,,375.00
4/16/2020,CO,"8,582","7,941",641,302,641,373,363,10,16,10,340.00
4/17/2020,CO,"9,047",,,465,,391,,,18,,383.14
4/18/2020,CO,"9,433",,,386,,411,,,20,,362.86
4/19/2020,CO,"9,634","8,915",719,201,719,421,408,13,10,13,333.00
4/20/2020,CO,"10,019","9,260",759,385,40,448,435,13,27,0,332.57
4/21/2020,CO,"10,368","9,536",832,349,73,485,471,14,37,1,346.71
4/22/2020,CO,"10,825","9,878",947,457,115,507,491,16,22,2,363.57
4/23/2020,CO,"11,182","10,208",974,357,27,551,526,25,44,9,371.43
4/24/2020,CO,"12,184","10,995","1,189","1,002",215,672,551,121,121,96,448.14
4/25/2020,CO,"12,868","11,533","1,335",684,146,670,564,106,-2,-15,490.71
4/26/2020,CO,"13,350","11,980","1,370",482,35,679,572,107,9,1,530.86
4/27/2020,CO,"13,798","12,374","1,424",448,54,706,595,111,27,4,539.86
4/28/2020,CO,"14,238","12,741","1,497",440,73,736,617,119,30,8,552.86
