submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
7/17/2020,CO,"39,344","36,260","3,084",618,48,"1,751","1,419",332,6,0,7/18/2020 16:14,Agree,Agree
7/17/2020,FL,"323,002",,,"11,362",131,"4,805",,,128,1,7/18/2020 16:14,Not agree,Not agree
7/17/2020,CT,"47,893","45,910","1,983",143,4,"4,396","3,519",877,7,3,7/18/2020 16:14,Agree,Agree
7/17/2020,NE,"22,361",,,227,0,301,,,2,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,AZ,"138,523","138,523",0,"3,910",-775,"2,583","2,583",0,91,-139,7/18/2020 16:14,Agree,Agree
7/17/2020,SC,"66,060","65,857",203,"1,977",0,"1,096","1,078",18,26,1,7/18/2020 16:14,Agree,Agree
7/17/2020,IA,"37,722",,,590,0,784,,,6,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,NM,"16,456",,,318,0,565,,,3,0,7/18/2020 16:14,N/A,Not agree
7/17/2020,ND,"4,907",,,115,0,90,,,1,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,WA,"45,067",,,754,0,"1,434",,,7,0,7/18/2020 16:14,N/A,N/A
7/17/2020,KY,"21,605","20,607",998,522,33,658,653,5,8,1,7/18/2020 16:14,Agree,Agree
7/17/2020,WY,"2,069","1,678",391,43,9,24,24,0,0,0,7/18/2020 16:14,Agree,Agree
7/17/2020,AS,0,,,0,0,0,,,0,0,7/18/2020 16:14,,
7/17/2020,MA,"112,879","106,487","6,392",298,82,"8,402","8,184",218,22,1,7/18/2020 16:14,Agree,Agree
7/17/2020,TN,"73,819","73,138",681,"2,279",22,815,785,30,19,1,7/18/2020 16:14,Agree,Agree
7/17/2020,PA,"100,241","97,388","2,853",763,26,"7,007",,,15,-8,7/18/2020 16:14,Agree,Not agree
7/17/2020,OH,"72,280","68,175","4,105","1,679",44,"3,112","2,858",254,9,0,7/18/2020 16:14,Agree,Agree
7/17/2020,VA,"76,373","73,420","2,953",940,36,"2,025","1,921",104,12,0,7/18/2020 16:14,Agree,Agree
7/17/2020,MI,"80,593","72,502","8,091",754,94,"6,355","6,108",247,7,0,7/18/2020 16:14,Agree,Agree
7/17/2020,NJ,"176,551",,,50,0,"15,684","13,710","1,974",19,0,7/18/2020 16:14,Not agree,Agree
7/17/2020,IL,"160,509","159,334","1,175","1,427",43,"7,465","7,272",193,13,-8,7/18/2020 16:14,Agree,Agree
7/17/2020,AL,"63,153","62,172",981,"2,010",50,"1,263","1,233",30,33,1,7/18/2020 16:14,Agree,Agree
7/17/2020,CA,"366,164",,,"9,986",0,"7,475",,,130,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,LA,"88,590",,,"2,179",0,"3,509","3,399",110,24,0,7/18/2020 16:14,Not agree,Agree
7/17/2020,GA,"135,183",,,"3,908",0,"3,132",,,28,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,TX,"307,572",,,"14,916",0,"3,735",,,174,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,IN,"54,813",,,733,0,"2,803","2,610",193,8,0,7/18/2020 16:14,Not agree,Agree
7/17/2020,NV,"33,503",,,"1,383",3,663,,,12,1,7/18/2020 16:14,,
7/17/2020,MD,"77,206",,,835,0,"3,368","3,238",130,9,-2,7/18/2020 16:14,N/A,Agree
7/17/2020,MS,"40,829","40,358",471,1,0,"1,332","1,303",29,-1,1,7/18/2020 16:14,Agree,Agree
7/17/2020,WI,"44,068","40,507","3,561",929,49,840,833,7,2,0,7/18/2020 16:14,Agree,Agree
7/17/2020,DE,"13,429","12,447",982,92,0,523,465,58,2,0,7/18/2020 16:14,Agree,Agree
7/17/2020,OR,"13,802","13,086",716,293,716,254,250,4,5,4,7/18/2020 16:14,Agree,Agree
7/17/2020,NC,"95,477",,,"2,051",0,"1,606",,,18,0,7/18/2020 16:14,N/A,N/A
7/17/2020,OK,"23,535","23,345",190,628,8,438,438,0,6,0,7/18/2020 16:14,Agree,Agree
7/17/2020,MN,"45,470",,,457,0,"1,578","1,538",40,5,0,7/18/2020 16:14,N/A,Agree
7/17/2020,MO,"31,290",,,868,0,"1,121",,,8,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,UT,"33,392","33,113",279,805,4,243,243,0,8,0,7/18/2020 16:14,Agree,Agree
7/17/2020,RI,"17,793",,,82,0,990,,,2,0,7/18/2020 16:14,Not agree,N/A
7/17/2020,PR,"11,453","3,461","7,992",333,144,178,81,97,1,0,7/18/2020 16:14,Agree,Agree
7/17/2020,AR,"31,762",,,648,0,353,,,12,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,ID,"13,752","12,883",869,619,31,118,96,22,4,1,7/18/2020 16:14,Agree,Agree
7/17/2020,DC,"11,115",,,39,0,577,,,3,0,7/18/2020 16:14,,
7/17/2020,NH,"6,165",,,26,0,395,,,0,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,ME,"3,644","3,250",394,8,-3,117,,,2,0,7/18/2020 16:14,Agree,N/A
7/17/2020,WV,"4,783","4,658",125,126,3,100,,,1,0,7/18/2020 16:14,Agree,Not agree
7/17/2020,KS,"21,965","21,496",469,"1,032",15,299,,,0,0,7/18/2020 16:14,Agree,N/A
7/17/2020,SD,"7,789",,,95,0,116,115,1,1,0,7/18/2020 16:14,N/A,Agree
7/17/2020,HI,"1,232",,,23,0,23,,,1,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,VT,"1,334",,,9,0,56,,,0,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,MT,"2,366","2,366",0,24,0,37,37,0,0,0,7/18/2020 16:14,Agree,Agree
7/17/2020,AK,"1,733",,,40,0,17,,,0,0,7/18/2020 16:14,N/A,N/A
7/17/2020,GU,317,,,3,0,5,,,0,0,7/18/2020 16:14,Not agree,Not agree
7/17/2020,VI,283,,,20,0,6,,,0,0,7/18/2020 16:14,,
7/17/2020,MP,37,37,0,0,0,2,2,0,0,0,7/18/2020 16:14,Agree,Agree
7/17/2020,PW,0,,,0,0,0,,,0,0,7/18/2020 16:14,,
7/17/2020,NY,407334,217895,4622,740,-2,32158,18771,4617,19,-2,7/18/2020 16:14,Agree,Agree
