Date,tot_cases,new_case,day7_average,new_death,tot_death
1/22/2020,1,1,1,0,0
1/23/2020,1,0,0.5,0,0
1/24/2020,2,1,0.66,0,0
1/25/2020,2,0,0.5,0,0
1/26/2020,5,3,1,0,0
1/27/2020,5,0,0.84,0,0
1/28/2020,5,0,0.71,0,0
1/29/2020,5,0,0.57,0,0
1/30/2020,5,0,0.57,0,0
1/31/2020,7,2,0.71,0,0
2/1/2020,8,1,0.85,0,0
2/2/2020,8,0,0.42,0,0
2/3/2020,11,3,0.85,0,0
2/4/2020,11,0,0.85,0,0
2/5/2020,11,0,0.85,0,0
2/6/2020,11,0,0.85,0,0
2/7/2020,11,0,0.57,0,0
2/8/2020,11,0,0.43,0,0
2/9/2020,11,0,0.43,0,0
2/10/2020,11,0,0,0,0
2/11/2020,12,1,0.14,0,0
2/12/2020,12,0,0.14,0,0
2/13/2020,13,1,0.29,0,0
2/14/2020,13,0,0.29,0,0
2/15/2020,13,0,0.29,0,0
2/16/2020,13,0,0.29,0,0
2/17/2020,13,0,0.29,0,0
2/18/2020,13,0,0.14,0,0
2/19/2020,13,0,0.14,0,0
2/20/2020,13,0,0,0,0
2/21/2020,15,2,0.29,0,0
2/22/2020,15,0,0.29,0,0
2/23/2020,15,0,0.29,0,0
2/24/2020,15,0,0.29,0,0
2/25/2020,15,0,0.29,0,0
2/26/2020,15,0,0.29,0,0
2/27/2020,16,1,0.43,0,0
2/28/2020,16,0,0.14,0,0
2/29/2020,24,8,1.29,1,1
3/1/2020,30,6,2.14,0,1
3/2/2020,53,23,5.29,5,6
3/3/2020,78,25,8.86,3,9
3/4/2020,98,20,11.58,1,10
3/5/2020,164,66,19.16,1,11
3/6/2020,211,47,24.58,1,12
3/7/2020,275,64,31.57,5,17
3/8/2020,422,147,50.3,2,19
3/9/2020,647,225,64.68,6,25
3/10/2020,937,290,98.14,4,29
3/11/2020,1215,278,128.87,7,36
3/12/2020,1629,414,164.85,5,41
3/13/2020,1896,267,192.27,6,47
3/14/2020,2234,338,218.27,4,51
3/15/2020,3465,1231,344.86,16,67
3/16/2020,4217,752,411.56,8,75
3/17/2020,7014,2797,521.27,22,97
3/18/2020,10429,3415,690.59,53,150
3/19/2020,15202,4773,1009.17,50,200
3/20/2020,18713,3511,1333.44,57,257
3/21/2020,24542,5829,1773.31,67,324
3/22/2020,33337,8795,2196.18,74,398
3/23/2020,44260,10923,2740.74,143,541
3/24/2020,54367,10107,3370.84,193,734
3/25/2020,68334,13967,4219.47,257,991
3/26/2020,85228,16894,5411.86,252,1243
3/27/2020,103172,17944,6624.31,421,1664
